timestamp,source,event_type,severity,ip_address,status_code,endpoint,message
2026-08-26 10:11:46,api-server-01,PAYMENT,INFO,172.16.0.5,200,/api/v1/checkout,Payment transaction processed successfully: $68.00 USD
2026-08-26 10:12:15,auth-server-01,LOGOUT,INFO,198.51.100.4,200,/api/v1/auth/logout,User session terminated gracefully
2026-08-26 10:12:37,web-server-01,API_REQUEST,INFO,198.51.100.4,204,/api/v1/checkout,GET /api/v1/checkout completed with HTTP 204
2026-08-26 10:13:09,auth-server-01,LOGOUT,INFO,192.168.1.10,200,/api/v1/auth/logout,User session terminated gracefully
2026-08-26 10:13:14,api-server-01,DATABASE_QUERY,INFO,192.168.1.42,,,SELECT * FROM sessions WHERE active = 1 (took 41ms)
2026-08-26 10:13:55,api-server-02,LOGOUT,INFO,10.0.0.28,200,/api/v1/auth/logout,User session terminated gracefully
2026-08-26 10:14:31,web-server-01,HTTP_REQUEST,INFO,192.168.1.25,200,/api/v1/products,GET /api/v1/products completed with HTTP 200
2026-08-26 10:14:41,auth-server-01,AUTHENTICATION,INFO,10.0.0.28,200,/api/v1/auth/login,User authentication succeeded for user_684
2026-08-26 10:15:20,api-server-01,HTTP_REQUEST,INFO,203.0.113.19,200,/metrics,GET /metrics completed with HTTP 200
2026-08-26 10:15:33,web-server-01,PAYMENT,INFO,10.0.0.15,200,/api/v1/checkout,Payment transaction processed successfully: $228.00 USD
2026-08-26 10:15:55,auth-server-01,LOGOUT,INFO,192.168.1.10,200,/api/v1/auth/logout,User session terminated gracefully
2026-08-26 10:16:15,payment-service,DATABASE_QUERY,INFO,172.16.0.5,,,SELECT * FROM users WHERE active = 1 (took 16ms)
2026-08-26 10:16:54,web-server-01,LOGIN,INFO,172.16.0.88,200,/api/v1/auth/login,User authentication succeeded for user_402
2026-08-26 10:17:28,database-01,DATABASE_QUERY,INFO,192.168.1.25,,,SELECT * FROM sessions WHERE active = 1 (took 14ms)
2026-08-26 10:17:52,database-01,DATABASE_QUERY,INFO,198.51.100.4,,,SELECT * FROM transactions WHERE active = 1 (took 23ms)
2026-08-26 10:18:14,api-server-02,LOGOUT,INFO,172.16.0.5,200,/api/v1/auth/logout,User session terminated gracefully
2026-08-26 10:18:33,api-server-02,API_REQUEST,INFO,10.0.0.28,201,/api/v1/auth/logout,GET /api/v1/auth/logout completed with HTTP 201
2026-08-26 10:18:39,auth-server-01,DATABASE_QUERY,INFO,172.16.0.88,,,SELECT * FROM sessions WHERE active = 1 (took 30ms)
